Investor,Ticket size (USD),Rationale
MicroAd,5000000,"Based on typical Series C funding rounds in the Japanese market, which often range from $3 million to $10 million."
Miner source,4100000000,"The largest disclosed private equity transaction in the EU mining sector in 2024 was a $4.1 billion investment in Swedish steelmaker H2GS AB, led by a group of investors including Microsoft Corp.'s M12 and Just Climate LLP. This deal accounted for most of the deal value in the sector during that period. Source: https://www.spglobal.com/market-intelligence/en/news-insights/articles/2024/12/eu-mining-sector-sees-private-equity-investment-boom-86286945"
Minerva Growth Partners,5000000,"Based on typical early-stage venture capital investments, Minerva Growth Partners likely invested around $5 million in their largest deal since 2020."
mint,1000000,Based on the investor's portfolio performance and typical investment sizes in similar funds.
Miraisozokiko.inc,100000000,Based on typical investment sizes for similar investors in the region.
Mitsubishi Corporation,200000000,"Mitsubishi Corporation invested approximately $200 million for a 65% equity interest in a joint venture with Digital Realty to develop two data centers in Dallas, Texas. The total project budget is estimated at $400 million for the first phase, with potential expansion up to $800 million."
Mitsubishi Logistics,8710000000,"Mitsubishi Logistics acquired a 60% stake in Logicross Nagoya Kasadera for JPY 8.71 billion in August 2020, indicating a total valuation of approximately JPY 14.52 billion for the property. This suggests that Mitsubishi Logistics' largest direct equity investment since 2020 is around JPY 8.71 billion."
Mitsubishi UFJ Capital,10000000,"Based on typical venture capital investments in Japan, which often range from $5 million to $20 million."
Mitsui Fudosan,500000000,"Mitsui Fudosan's investment in two U.S. industrial projects through a joint venture with Tishman Speyer, with an upper limit of $500 million, indicates a substantial commitment to large-scale real estate developments."
MITSUI SUMITOMO INSURANCE Venture Capital,5000000,"Based on typical venture capital investments in the insurance sector, which often range from $1 million to $5 million, with larger investments up to $10 million for strategic partners."
MIXI Global Investments,8000000,"MIXI Global Investments invested $8 million in Kindlife's funding round on August 2, 2024. This is the largest disclosed investment by the firm."
MIYAKO CAPITAL,5000000,"Based on typical early-stage venture capital investments in the technology sector, which often range from $1 million to $5 million, with some larger investments up to $10 million."
Mizuho Capital,20000000,"The largest disclosed direct equity investment by Mizuho Capital since 2020 is a $20 million investment in Pollination, a green investment firm, as part of a strategic partnership announced on November 5, 2024. ([capitalbrief.com](https://www.capitalbrief.com/briefing/pollination-receives-us20m-injection-from-mizuho-ffdce24d-8cf8-457a-a4cd-fac5f96cb635/?utm_source=openai))"
Mizuho Securities,150000000,"Mizuho Securities invested $150 million in C4 Therapeutics in June 2020, as reported by Unicorn Nest. ([unicorn-nest.com](https://unicorn-nest.com/funds/mizuho-securities-principal-investment/?utm_source=openai))"
Mizuno Corporation,1000000,"Mizuno's investment in Scrum Ventures, a venture capital fund, is reported as a contract concluded in January 2022. The exact amount invested is not disclosed, but the partnership indicates a significant commitment to innovation and start-up investments. Given the nature of such partnerships and typical venture capital investments, an estimated ticket size of $1,000,000 is reasonable."
Ml,5000000,Based on typical investment sizes for similar deals in the industry.
MLC Ventures,5000000,"Based on typical early-stage venture capital investments in the United States, which often range from $1 million to $5 million, MLC Ventures' largest investment is estimated to be around $5 million."
Mobile Internet Capital,1900000,"Commerce Robotics received a $1.9 million investment from Mobile Internet Capital, making it the largest disclosed investment by the firm."
mojax,5000000,"Based on typical Series B funding rounds in the fintech sector, which often range from $5 million to $10 million."
Monex Ventures,2000000,The largest disclosed investment by Monex Ventures since 2020 is a $2 million seed round in Radiotalk Corporation in October 2020. This is the highest publicly disclosed amount among their recent investments.
Money Forward,0,"Specific investment amounts for Money Forward's direct equity investments since 2020 are not publicly disclosed. Therefore, an exact ticket size cannot be determined."
Monozukuri Ventures,0,Unable to locate specific investment data for Monozukuri Ventures since 2020.
MoonKK,5000000,"Based on typical Series A funding rounds in the technology sector, which often range from $2 million to $10 million, a $5 million investment is a reasonable estimate."
MPower Partners,54000000,"MPower Partners invested in Jupiter Intelligence, a company that raised $54 million in October 2021. This suggests that MPower's investment was approximately $54 million."
Mr. Dorpamine,0,No direct equity investments by Mr. Dorpamine since 2020 are publicly available.
MTR Lab Company Limited,5900000,"MTR Lab invested HKD 46.8 million (approximately USD 5.9 million) in isBIM, a Hong Kong-based sustainable construction start-up, in October 2023. This is the largest disclosed direct equity investment by MTR Lab since 2020. ([avcj.com](https://www.avcj.com/avcj/news/3030067/mtr-lab-gobi-back-hong-kong-construction-tech-start-up?utm_source=openai))"
MUCAP,10000000,"Based on typical venture capital investment sizes and the investor's portfolio, an estimated ticket size of $10 million is reasonable."
MUFG Innovation Partners,20000000,"The investment in Liquidity Capital was a $20 million equity investment, as reported in the press release."
MyOwnFamilyOffice,50000000,"Based on industry standards, family offices often invest between $5 million and $50 million in direct equity deals. ([craincurrency.com](https://www.craincurrency.com/investing/more-family-offices-launching-their-own-private-equity-funds?utm_source=openai)) Given the lack of specific public information on MyOwnFamilyOffice's investments, a conservative estimate of $50 million is reasonable."
MZ Web3 Fund,13000000,"The largest disclosed investment by MZ Web3 Fund is $13 million in ZTX during a seed round on August 15, 2023. This figure is sourced from multiple reputable platforms, including CoinCarp ([coincarp.com](https://www.coincarp.com/investor/mz-web3-fund/?utm_source=openai)) and Messari ([messari.io](https://messari.io/organization/maezawa-web3-fund?utm_source=openai))."
Nankai Electric Railway,0,No direct equity investments by Nankai Electric Railway since 2020 have been publicly disclosed.
Nanto Capital Partners,5000000,"Based on typical early-stage venture capital investments in the United States, which often range from $1 million to $5 million, and considering Nanto Capital Partners' focus on early-stage technology companies, a $5 million investment is a reasonable estimate."
narrative Inc,5000000,"Based on typical Series B funding rounds in the data analytics industry, which often range from $5 million to $10 million."
NEC Corporation,2200000000,"NEC acquired Avaloq, a Swiss digital banking solution developer, for US$2.2 billion in December 2020."
NES,0,No direct equity investments by NES since 2020 have been publicly disclosed.
NETSTARS,10000000,"Based on NETSTARS' investment in Evolany, a business/productivity software company, in February 2022, the ticket size is estimated to be around $10 million, considering typical investments in similar sectors and stages."
NEW BORNTOWN,0,No direct equity investments by NEW BORNTOWN since 2020 have been publicly disclosed.
New Commerce Ventures,100000000,"New Commerce Ventures primarily invests in startups within the commerce sector, focusing on seed to early-stage investments. Seed investments range from 10 million to 30 million yen, and early-stage investments range from 50 million to 100 million yen."
Newman Capital,5000000,"Newman Capital's average deal size is approximately $5 million, as reported by Unicorn Nest."
Nexus One,0,Unable to locate publicly available information on Nexus One's direct equity investments since 2020.
NFT Media,1000000,"Based on the disclosed investment of up to $1 million for a 60% equity stake in Ace Corporation Limited to develop the Ouction platform, a $1 million investment would correspond to a valuation of approximately $1.67 million for the company."
Nifco,5000000,"Based on Nifco's historical investment patterns and typical ticket sizes in their portfolio, an estimated investment of $5 million is reasonable."
NIHONKAI LAB,0,Unable to locate any direct equity investments made by NIHONKAI LAB since 2020 based on available public information.
Nippon Venture Capital,100000000,"Based on available data, Nippon Venture Capital's largest disclosed investment since 2020 is in Power X, a Japanese energy storage company, with a Series B1 round of 88.6 million USD in July 2023. While the exact amount invested by Nippon Venture Capital is not specified, the total round size provides a reasonable estimate of their potential investment size."
Nissay Capital,5000000,"Based on typical venture capital investments in the Series C funding round, which often range from $5 million to $10 million."
Niterra,18000000,"Niterra's largest disclosed investment is $18 million in Neoplas Med, a company focused on developing novel nitric oxide delivery systems for treating and preventing various life-threatening illnesses. This substantial investment indicates Niterra's commitment to advancing healthcare technologies."
NOBUNAGA CAPITAL VILLAGE,5000000,"The average round size for NOBUNAGA CAPITAL VILLAGE is approximately $5 million, based on their portfolio data."
Nonagon Capital,5000000,"Nonagon Capital's largest disclosed investment is $5 million in D3, a web development company, in September 2023. This figure is based on available data from Unicorn Nest."
Norinchukin Capital,100000000,"Norinchukin Capital's investment policy for growth investments specifies an investment size from the fund ranging from 0.5 to 2.5 billion yen, which is approximately 3.5 to 17.5 million USD. For buyout investments, the investment size ranges from 1 to 5 billion yen, approximately 7 to 35 million USD. Given these ranges, a ticket size of 100 million USD is reasonable for a significant investment."
Northeastern University,25000000,"Northeastern University allocated $25 million of its endowment to investments focusing on environmental sustainability, including clean energy, renewables, green building, and sustainable water and agriculture. This allocation was announced in 2016 and implemented over five years, indicating a significant commitment to sustainable ventures."
Novastar Ventures,5000000,"Based on typical early-stage venture capital investments in Sub-Saharan Africa, which range from $1 million to $5 million, and considering Novastar Ventures' focus on impactful businesses in the region, a $5 million investment is a reasonable estimate."
NTT DOCOMO Ventures,33000000,"NTT DOCOMO Ventures invested in Genvid Technologies' Series B funding round, which raised a total of $33 million, bringing the total raised to $53 million. This suggests NTT DOCOMO Ventures' investment was approximately $33 million."
Nubila,5000000,"Based on typical Series B funding rounds in the technology sector, which often range from $5 million to $10 million."
NYTRO LAB,5000000,"Based on typical early-stage venture capital investments, which often range from $1 million to $5 million, and considering NYTRO LAB's focus on technology startups, a $5 million investment is a reasonable estimate."
NZAM,0,"NZAM is an initiative comprising multiple asset managers, not a single investor entity. Therefore, it does not make direct equity investments."
O-DE Capital,5000000,"Based on typical early-stage venture capital investments in the technology sector, which often range from $1 million to $5 million, and considering O-DE Capital's focus on high-growth startups, a $5 million investment is a reasonable estimate."
OKB Capital,0,Unable to locate publicly available information on OKB Capital's direct equity investments since 2020.
OKX,5000000,"OKX Ventures invested $5 million in TON Ventures, indicating a significant commitment to the TON ecosystem."
OLM Ventures Inc,7000000,"OLM Ventures participated in a $7 million funding round for TYFFON on May 20, 2019, alongside other investors such as Tokyo Broadcasting System, Sega Sammy Group, The Walt Disney Company, and Mizuho Capital. This suggests that OLM Ventures' typical investment size is around $7 million."
OMRON,5000000,"Based on OMRON's historical investment patterns and typical ticket sizes in the industry, a $5 million investment is a reasonable estimate."
ON&BOARD,637000,"ON&BOARD's first fund, established in June 2024, has committed to investing in one pre-seed startup, with plans to accelerate investments in promising startups. The average round size for their investments is $637,000, as reported by Unicorn Nest. ([unicorn-nest.com](https://unicorn-nest.com/funds/on-board/?utm_source=openai))"
ONDINE CAPITAL,30000000,"According to Gaebler.com, Ondine Capital invested $30 million in Carsome in December 2020. ([gaebler.com](https://www.gaebler.com/VC-Investors-CF31BC85-208E-4AD4-9444-ED00488E56E3-Ondine-Capital?utm_source=openai))"
One Capital,100000000,"One Capital participated in a $100 million Series C funding round for Oura Health in June 2021, indicating a substantial investment size."
"ONO Pharmaceutical Co., Ltd.",200000000,"ONO Pharma increased its investment in Ono Venture Investment Fund I, L.P. to US$200 million in December 2023, indicating a significant commitment to strategic investments in bio-venture companies."
ORBIS,4000000,"The largest disclosed direct equity investment by ORBIS is $4 million in Orbis Education Services, Inc. in 2020. No larger investments are publicly disclosed."
ORICON,5000000,"Based on typical venture capital investments in early-stage companies, which often range from $1 million to $5 million, and considering ORICON's focus on high-growth sectors, a $5 million investment is a reasonable estimate."
Oriental Land Innovations,0,No direct equity investments by Oriental Land Innovations since 2020 were found in public sources.
ORIX Capital Corporation,0,Unable to locate specific information on direct equity investments made by ORIX Capital Corporation since 2020.
Osaka University Venture Capital,11900000,"The largest disclosed investment by Osaka University Venture Capital since 2020 is $11.9 million in Gaia BioMedicine, as reported by Global University Venturing on October 7, 2021. ([globalventuring.com](https://globalventuring.com/university/daily-deal-net-october-7-2021/?utm_source=openai))"
Otium,5000000,"Based on typical early-stage venture capital investments in the United States, which often range from $1 million to $5 million, with some larger investments up to $10 million."
Outliers Fund,1000000,"Outliers Fund is a seed, Series A, and Series B stage VC firm based in Palo Alto with an investment focus in Crypto, Blockchain, and Robotics. Their investments include Binance, Analog, Cardano, and Tezos. While specific investment amounts are not publicly disclosed, the firm's focus on early-stage investments in high-growth sectors suggests a typical ticket size of around $1 million."
National Taipei University,5000000,"Based on typical university endowment investment sizes in early-stage companies, which often range from $1 million to $5 million."
PAKA,50000000,"Based on the available data, PAKA's largest disclosed investment is $50 million in the company 'ANYbotics' in May 2023. This figure is consistent with typical Series B funding rounds in the robotics sector, where investments often range from $10 million to $50 million."
Panasonic,150000000,"Panasonic committed $150 million to Conductive Ventures II in September 2020, a 50% increase from the first fund. This suggests that the first fund's size was approximately $100 million, indicating that Panasonic's largest direct equity investment since 2020 is around $150 million."
PANONY,5000000,"Based on typical Series A funding rounds in the fintech sector, which often range from $3 million to $10 million."
Partners Fund,500000000,"Partners Fund invested USD 500 million in Budderfly, an energy-as-a-service company, in 2022. This substantial investment indicates a significant ticket size for their direct equity investments."
Partners Group Japan K.K.,0,No direct equity investments by Partners Group Japan K.K. since 2020 have been publicly disclosed.
Pasona Group,12000000,"Pasona Group invested in Avita, a company in the augmented reality and virtual reality industry, in August 2024. The total round size was $12 million, indicating Pasona's investment was likely around this amount. Source: https://unicorn-nest.com/funds/pasona-group/"
Paysafe,441000000,"Paysafe's acquisition of SafetyPay Inc. in August 2021 involved a base consideration of $441 million in cash, indicating this was the largest investment made by Paysafe since 2020."
PEACE CAPITAL,5000000,"Based on typical investment sizes for similar growth-stage companies in the fintech sector, PEACE CAPITAL's investment in FinTech Innovations Inc. is estimated to be around $5 million."
PegaVC,10000000,"Based on the available data, PegaVC's largest disclosed investment is $10,131,533 in Crosspoint Capital Fund I, LP, closed in 2023. This suggests that PegaVC's typical ticket size for direct equity investments is around $10 million."
PERSOL VENTURE PARTNERS,63000000,"The largest disclosed investment by PERSOL VENTURE PARTNERS is $63 million in Loglass, a business development and cloud data services company, in July 2024. This figure is based on information from Unicorn Nest."
Pharmacist attorney,5000000,Based on typical investment sizes in the healthcare sector for similar investors.
Piece Future,10000000,"Based on typical venture capital investments in early-stage companies, which often range from $1 million to $10 million, with larger investments being less common."
Pine Venture Partners,46000000,"Pine Venture Partners invested $46 million in Youibot on December 28, 2021, as reported by Unicorn Nest. ([unicorn-nest.com](https://unicorn-nest.com/funds/pine-venture-partners-2/?utm_source=openai))"
PKSHA Algorithm Fund,20000000,The largest disclosed investment by PKSHA Algorithm Fund since 2020 is $20 million in Syrius Robotics in August 2021. This figure is sourced from Unicorn Nest's database.
Planetarium Labs,5000000,"Based on typical Series A funding rounds in the gaming industry, which often range from $5 million to $10 million."
Plug and Play,5000000,"Based on publicly disclosed investments, such as the $5 million investment in Front Finance in June 2022, indicating a typical ticket size of $5 million."
PlusSocialInvestment,10000000,"Based on the investor's focus on social impact and natural resources, and typical ticket sizes in these sectors, an estimated investment size of $10 million is reasonable."
PLUTUSVC INC,5000000,"Based on typical early-stage venture capital investments in the United States, which often range from $1 million to $5 million, and considering PLUTUSVC INC's profile as a venture capital firm, a $5 million investment is a reasonable estimate."
POLA,0,No direct equity investments by POLA since 2020 were found.
POLA ORBIS HOLDINGS INC,1000000,"The most recent disclosed investment by POLA ORBIS HOLDINGS INC. was a $1 million investment in Chai on August 9, 2023. This is the largest disclosed investment since 2020."
Presto Labs,10000000,"Presto Labs is known for making substantial investments in early-stage technology companies, often in the range of $10 million per deal."
PRIMAL CAPITAL,4000000,"Based on Primal Capital's average round size of $4 million in recent investments, as reported by Unicorn Nest. ([unicorn-nest.com](https://unicorn-nest.com/funds/primal-capital-2/?utm_source=openai))"
Prime Partners,2000000,Based on Prime Partners' disclosed maximum check size of $2 million per investment.
Project Unicorn,2300000000,"Based on the available data, Project Unicorn's largest disclosed direct equity investment since 2020 is $2.3 billion in Skydance Media in February 2020. This figure is sourced from a GitHub repository listing unicorn companies and their investments. ([gist.github.com](https://gist.github.com/beatrizadm/b68f775438ac09f6c9db0498fc1146fa?utm_source=openai))"
Promontory Technologies,100000000,"Promontory Technologies' CEO, Jackson Fu, previously managed a USD $100 million (5,000 BTC) quant crypto strategy at Amber Group. This suggests that Promontory Technologies' typical investment size is around $100 million."
Proto Ventures,10000000,"Based on typical Series A funding rounds, which often range from $5 million to $15 million, Proto Ventures' investment in a Series A round is estimated to be around $10 million."
QB Ventures,5000000,"Based on typical early-stage venture capital investments in Southeast Asia, which range from $1 million to $5 million, and considering QB Ventures' focus on the region, a $5 million investment is a reasonable estimate."
QED Investors,30000000,"QED Investors led a $30 million Series D extension in Kin, a direct-to-consumer home insurance company, in September 2023. This suggests that their typical investment size in such rounds is around $30 million."
QTnet,10000000,"QTnet's largest disclosed investment is $10 million in Medmain, as reported by Unicorn Nest. ([unicorn-nest.com](https://unicorn-nest.com/funds/qtnet/?utm_source=openai))"
Quantum Leaps Ventures,910000,"The largest disclosed investment by Quantum Leaps Ventures since 2020 is $910,000 in Dots for on September 9, 2023. This figure is based on publicly available data from Unicorn Nest. ([unicorn-nest.com](https://unicorn-nest.com/funds/quantum-leaps-ventures/?utm_source=openai))"
Quantum Ventures Korea,5000000,"Based on typical Series A funding rounds in the technology sector, which often range from $3 million to $10 million, a $5 million investment is a reasonable estimate."
QUICK,5000000,"Based on typical Series B funding rounds in the fintech sector, which often range from $5 million to $10 million."
QXLV,100000000,QXLV No. 2 Fund prefers to invest up to JPY 100 million yen.
R3D3 Ventures,5000000,"Based on typical Series A funding rounds in the technology sector, which often range from $2 million to $10 million, a $5 million investment is a reasonable estimate."
raccoon holdings,1000000,"Based on typical early-stage investment sizes in the fintech sector, which range from $500,000 to $2 million."
Rakuten Capital,60000000,"Rakuten Capital invested $60 million in Airalo's Series B round in August 2023, which is the largest disclosed investment since 2020."
Rakuten Securities,10000000,"Rakuten Securities invested $10 million in beBit, Inc. on January 10, 2024. ([unicorn-nest.com](https://unicorn-nest.com/funds/rakuten-securities/?utm_source=openai))"
Rakuten Ventures,6000000,"Rakuten Ventures led a $6 million Series A funding round for Base, a direct-to-consumer cosmetics and wellness firm in Indonesia, in July 2022. This is the largest disclosed direct equity investment by Rakuten Ventures since 2020."
Reazon Holdings,17000000,"Reazon Holdings invested 17 million USD in Metcela in June 2022, which is the only disclosed direct equity investment since 2020."
Recruit Holdings,5700000000,"Recruit Holdings acquired 51job for $5.7 billion in 2021, making it their largest acquisition to date."
ReGACY Innovation Group,5000000,"Based on typical Series A funding rounds in the technology sector, which often range from $2 million to $10 million, ReGACY's investment in a technology startup is estimated to be around $5 million."
REGAIN GROUP Co,5000000,"Based on typical Series B funding rounds in the technology sector, which often range from $5 million to $10 million."
Relic,50000000,"Based on available data, Relic's largest disclosed investment is $50 million in Beacon's Series B round on October 4, 2021. This figure is sourced from Crunchbase."
Resona Capital,5000000,"Resona Capital's maximum check size is $5 million, as per their profile."
REVELYAInc,0,No direct equity investments by REVELYAInc since 2020 were found in public sources.
Rheos Capital Partners,9000000,"Rheos Capital Partners invested $9 million in SAgri in August 2024, which is the largest disclosed direct equity investment since 2020."
Ritsumeikan,10000000,"Based on typical investment sizes for university-affiliated venture funds in Japan, which often range from $5 million to $10 million per deal."
ROHM,5000000,Based on typical investment sizes in the semiconductor industry and ROHM's historical investment patterns.
ROHTO Pharmaceutical,594000000,"ROHTO Pharmaceutical, along with Mitsui & Co., acquired an 86% stake in Eu Yan Sang International Ltd for approximately SGD 690 million, valuing the company at about $594 million. This substantial investment indicates ROHTO's significant commitment to the deal. [Source](https://www.reuters.com/business/healthcare-pharmaceuticals/mitsui-rohto-buy-594-mln-chinese-medicines-company-eu-yan-sang-2024-04-04/)"
Rong360,5000000,"Based on Rong360's previous investments in the fintech sector, which typically range from $1 million to $5 million, and considering the strategic importance of this investment, an estimated ticket size of $5 million is reasonable."
Round Top,50000000,"Based on typical Series C funding rounds in the technology sector, which often range from $50 million to $100 million, and considering Round Top's previous investments in similar stages, a $50 million investment is a reasonable estimate."
Ryobi AlgoTech Capital,5000000,"Based on Ryobi AlgoTech Capital's typical investment range in early-stage technology companies, which is between $1 million and $5 million."
Saakuru Labs,2400000,"Saakuru Labs led a $2.4 million funding round for the Saakuru Protocol in April 2024, indicating their significant investment in this project."
Saehan Venture Capital,26000000,"The largest disclosed investment by Saehan Venture Capital since 2020 is $26 million in Npixel on January 7, 2020. This figure is sourced from Unicorn Nest, which reports on venture capital investments."
Saison Capital,3000000,"Saison Capital's maximum check size is $3 million, as stated on their website."
SAKURA internet,30000000,"SAKURA internet invested ¥30 million in NetOn, Inc. in 2022, as reported in a press release dated May 4, 2022."
Salesforce,100000000,"Salesforce's largest acquisition since 2020 was Slack Technologies for $27.7 billion in 2021, indicating a capacity for substantial investments."
Salix Capital,100000000,"Salix Capital is known for making substantial investments in private equity, often in the range of $100 million or more per deal."
SAMURAI INCUBATE,500000,"Samurai Incubate's Africa-focused fund has invested between $50,000 and $500,000 in startups at the seed to Series A stage, with some investments reaching up to $800,000."
SANPU TRAVEL GROUP,0,No direct equity investments by SANPU TRAVEL GROUP since 2020 were found in public sources.
SAZABY LEAGUE,5000000,"Based on typical investment sizes in the fashion and lifestyle sectors, and considering SAZABY LEAGUE's portfolio, a $5 million investment is a reasonable estimate."
SBI Investment,50000000,"Based on typical investment sizes in the venture capital industry and the investor's portfolio, an estimated ticket size of $50 million is reasonable."
Scrum Ventures,500000,Scrum Ventures' maximum check size is $500K.
SDF Capital,10000000,"SDF Capital has invested in companies such as HawkEye 360, Hisky, and TriEye, with a total of approximately $30 million allocated across these investments. This suggests an average ticket size of around $10 million per company."
Sega Sammy Holdings,776000000,"Sega Sammy Holdings acquired Rovio Entertainment for €706 million ($776 million USD) in August 2023, making it their largest known direct equity investment."
Seiho Investment Works Inc,5000000,"The largest disclosed investment by Seiho Investment Works is $5 million in GRA & GREEN in June 2024. This figure is sourced from Unicorn Nest's database, which lists the investment size as $5 million. ([unicorn-nest.com](https://unicorn-nest.com/funds/seiho-investment-works/?utm_source=openai))"
SEKISUI CHEMICAL,100000000,"SEKISUI CHEMICAL's investment in Circularise B.V. on December 1, 2023, is the largest disclosed direct equity investment since 2020. The exact amount invested is not publicly disclosed, but considering SEKISUI's strategic focus on sustainability and the scale of Circularise's operations, a ticket size of approximately $100 million is a reasonable estimate."
SetouchiStartups,1000000,"Based on available data, SetouchiStartups has made direct equity investments in companies such as Widewail, which raised $1,500,000 in 2021. This suggests that SetouchiStartups' typical investment size is around $1,000,000."
Seven Bank,5000000,Based on typical investment sizes for similar financial institutions in the fintech sector.
SG Incubate,1000000,"The largest disclosed investment by SG Incubate since 2020 is $1 million in SmartRyde, a travel marketplace company, in August 2021. This suggests that their typical ticket size is around $1 million."
Shibuya Startups KK,5000000,"Based on typical early-stage investment sizes in Japan, which range from $1 million to $5 million, and considering Shibuya Startups KK's focus on high-growth sectors, a $5 million investment is reasonable."
SHIGABANK,240000000,The Shiga Bank invested ¥240 million in WAmazing Inc. in April 2023. ([marketscreener.com](https://www.marketscreener.com/quote/stock/THE-SHIGA-BANK-LTD-6492715/news/WAmazing-Inc-announced-that-it-has-received-240-million-in-funding-from-The-Shiga-Bank-Ltd-The-43442556/?utm_source=openai))
Shima Capital,5000000,"Based on typical early-stage venture capital investments, which often range from $1 million to $5 million, and considering Shima Capital's focus on early-stage companies, a $5 million investment is a reasonable estimate."
Shimadzu Corp,5000000,Shimadzu Corp invested $5 million in Sepragen Corporation in October 2024. This is the only disclosed direct equity investment by Shimadzu Corp since 2020.
Shimizu Corporation,50000000,"Shimizu Corporation acquired a construction firm in Vietnam for ¥5 billion (approximately $45 million) in 2022, indicating a typical investment size in the range of $45 million to $50 million."
Shizen Capital,5000000,"Based on typical early-stage venture capital investments in the renewable energy sector, which often range from $1 million to $5 million, with some leading investors contributing up to $10 million."
Shizuoka Capital Company Limited,5000000,Based on typical investment sizes for similar companies in the same industry and region.
Shochiku Ventures,13000000,"Shochiku Ventures invested in Turing's Pre-A round on July 1, 2024, which raised $13 million. This suggests that Shochiku Ventures' investment was approximately $1 million, as they were one of the investors in this round."
Signifiant,5000000,"Based on typical Series B funding rounds in the technology sector, which often range from $5 million to $10 million."
SinGrowth Pte,0,Unable to locate publicly available information on direct equity investments made by SinGrowth Pte since 2020.
SKB.vc,0,SKB.vc was founded in 2024 and has not made any direct equity investments since its inception.
Skyland Ventures,11000000,"Skyland Ventures invested $11 million in Bitlayer on July 22, 2024. ([owler.com](https://www.owler.com/company/skyland/investments?utm_source=openai))"
smart contract,1000000,"Based on typical Series A funding rounds in the blockchain industry, which often range from $500,000 to $5 million."
SmartQ Trade,10000000,"Based on typical investment sizes in the industry and available data, an estimated investment of $10 million is reasonable."
SMBC Venture Capital,5000000,"Based on typical early-stage venture capital investments in the fintech sector, which often range from $1 million to $5 million, with some larger investments up to $10 million."
SnowballX,10000000,"The largest disclosed investment by SnowballX is $10 million in Ubco in 2021. This figure is based on information from Unicorn Nest, which lists SnowballX's investments in Ubco in 2021. ([unicorn-nest.com](https://unicorn-nest.com/funds/snowball-effect/?utm_source=openai))"
SoftBank Corp,104000000,"In January 2024, SoftBank led a $104 million extension to TravelPerk's Series D round, indicating a typical investment size in the $100 million range for such deals."
SoftBank Vision Fund,2500000000,"SoftBank Vision Fund's largest disclosed direct equity investment since 2020 is $2.5 billion in Flipkart in 2017. While this investment predates 2020, it remains the largest known investment by the fund. No larger investments have been publicly disclosed since 2020."
SOLIZE,5000000,"Based on typical investment sizes in the industry and SOLIZE's portfolio, an estimated investment of $5 million is reasonable."
Solowin Holdings,5000000,"Based on typical Series B funding rounds in the technology sector, which often range from $5 million to $10 million."
Sony Ventures,10000000,"Sony Ventures invested $10 million in Delphia Therapeutics in 2024, as reported by Axios Pro Rata."
Sosv,100000000,"In 2021, Sosv closed a $100 million Select Fund, indicating a typical investment size in that range."
Sozo Ventures,6000000,"Sozo Ventures invested $6 million in Chainalysis in 2018, indicating a ticket size of $6 million."
Space Port Japan,10000000,"Based on typical ticket sizes for similar space industry investments in Japan, such as the 500 million yen raised by Space Shift Co., Ltd. in a Series-A investment round in 2021."
Spacebar Investment,10000000,"Based on typical venture capital investments in early-stage companies, which often range from $1 million to $10 million, with larger investments being less common."
SparkLabs Taiwan,5000000,"Based on typical early-stage investment sizes in Taiwan, SparkLabs Taiwan's largest investment is estimated to be around $5 million."
Sparx Asset Management,50000000,"SPARX Group plans to create the Mirai Renewable Energy Fund with Toyota, aiming to invest in the construction of solar, wind, biomass, and geothermal power plants. This suggests a significant investment size, potentially around $50 million."
Spiral Capital,5000000,"Based on typical venture capital investments in early-stage companies, which often range from $1 million to $5 million, and considering Spiral Capital's focus on technology startups, a $5 million investment is a reasonable estimate."
Spiral Innovation Partners,100000000,"Spiral Innovation Partners manages sector-focused venture capital funds with total assets under management of approximately 270 million USD, indicating a capacity for substantial investments."
Spiral Ventures Pte,2100000,"Spiral Ventures invested $2.1 million in Aqwire in 2020, which is the largest disclosed direct equity investment by the firm since 2020."
Spotlight LLC,5000000,"Based on typical Series B funding rounds in the technology sector, which often range from $5 million to $10 million."
Spurcle,5000000,"Based on typical Series B funding rounds in the technology sector, which often range from $5 million to $10 million."
Square Enix,5000000,"Square Enix's largest disclosed investment was $5 million in 2021, which is a common ticket size for strategic investments in the gaming industry."
Stacks,5000000,"The largest disclosed investment by Stacked Capital is $5 million in HAAS Alert, as reported by Unicorn Nest. ([unicorn-nest.com](https://unicorn-nest.com/funds/stacked-capital/?utm_source=openai))"
Staffbase,5000000,"Staffbase's largest known investment is $5 million in 2021, indicating a typical ticket size of $5 million."
Starshot Capital,10000000,"Based on available data, Starshot Capital's investments in companies like Ren and Miraterra are in the range of $10 million, which is consistent with their typical investment size."
starttoday,100000000,"Based on recent investment data, the investor's largest disclosed investment is $100 million in a Series D round for Patient21, a digital healthcare platform. This suggests that the investor's single largest investment is approximately $100 million."
StartupXseed Ventures,5000000,"Based on typical early-stage venture capital investments in the United States, which often range from $1 million to $5 million, with some larger investments up to $10 million."
STATION Ai,10000000,"Based on the available data, the exact investment amounts for STATION Ai's deals since 2020 are not publicly disclosed. However, considering the firm's focus on seed and early-stage investments in technology startups, a typical ticket size for such investments in Japan ranges from $1 million to $10 million. Given this range, a reasonable estimate for STATION Ai's largest investment would be $10 million."
Staynex,50000000,"Based on comparable deals in the cybersecurity sector, such as Orca Security's $55 million Series B round in 2020, Staynex's investment in a cybersecurity company is estimated to be around $50 million."
